DASH.Open;DASH.High;DASH.Low;DASH.Close;DASH.Volume;DASH.Adjusted
200;206,3800049;198,7299957;205,4199982;1281100;205,4199982
207;213,9400024;205,8800049;212,4299927;1340800;212,4299927
213,5099945;217,5500031;212,4799957;214,0700073;1169300;214,0700073
214,6199951;215,9900055;213,2649994;215,3699951;956400;215,3699951
218,2799988;218,2799988;211,0800018;213,3300018;974000;213,3300018
214,75;217,8500061;213,5599976;215,6799927;1086700;215,6799927
214,8300018;220,2700043;212,8099976;218,8200073;903800;218,8200073
218;218,4400024;212,3899994;213,8300018;806200;213,8300018
215;220,6109924;214,0700073;216,3300018;1123800;216,3300018
217,6300049;219,0800018;211,9199982;212,9299927;847100;212,9299927
199,7200012;203;195,9299927;198,9499969;5167700;198,9499969
197,9299927;199,6499939;194,5399933;196;3115200;196
196,0099945;198,8000031;194,1300049;194,8000031;1930800;194,8000031
195,0099945;198,8509979;192,6499939;197,9400024;2590400;197,9400024
198,2599945;201,3800049;196,2599945;199,1900024;2135500;199,1900024
200,0500031;206,6920013;197,8999939;206,0200043;2177500;206,0200043
207,25;209,5800018;204,2700043;207,4400024;1387100;207,4400024
204,3500061;208,2700043;198,3600006;198,6799927;2900900;198,6799927
199,3999939;202,8699951;191,8600006;193,1499939;2679200;193,1499939
196,3999939;198,75;187,3549957;192,0099945;5529700;192,0099945
223,5800018;232;209;214,2400055;13689100;214,2400055
219,2599945;233,0800018;218,2400055;227,4199982;6121700;227,4199982
227,8699951;249,5;227,5099945;245,9700012;7368600;245,9700012
247,5200043;257,25;241,2100067;242,7200012;5232500;242,7200012
237,0599976;242,5099945;234,2599945;234,6499939;2646100;234,6499939
235;235,75;225,5700073;229,4600067;3292500;229,4600067
226,4400024;229,6199951;223,8350067;228,8099976;2326900;228,8099976
234,7899933;235;214,7899933;215,25;2818100;215,25
217,9499969;217,9499969;189,2100067;201,4600067;7041800;201,4600067
193,8099976;199,3600006;182,8099976;184,3099976;4969800;184,3099976
181,1000061;189,9700012;177,6499939;184,9299927;4357700;184,9299927
187,8999939;189;181,3600006;187,9199982;3231400;187,9199982
186,5500031;188,9700012;178,1300049;183,0099945;4794100;183,0099945
182,4799957;186;174,4149933;178,7700043;6317700;178,7700043
183;185,2799988;160,8800049;161,6199951;4870600;161,6199951
163,5099945;168,3639984;160,2899933;166,1199951;3866800;166,1199951
162,2100067;163;149,572998;157,7100067;5274400;157,7100067
156,1600037;163,1499939;155,3899994;161,5399933;4703200;161,5399933
165,7700043;167,3000031;158,8000031;163,4600067;4731500;163,4600067
163;170,8899994;159,4299927;168,9299927;2610300;168,9299927
167,6100006;168,5399933;162,8300018;164,8600006;3361000;164,8600006
165;171,0800018;157,6000061;158;2937800;158
156,6999969;158,4199982;149;155,25;4108900;155,25
152,8000031;159,6399994;150,0200043;156,4299927;3514400;156,4299927
154,1900024;157,8899994;147,2850037;156,2400055;2894900;156,2400055
157;157;143,3099976;144,4400024;3989800;144,4400024
143,0399933;150,1060028;139;148,8099976;5465600;148,8099976
146,1399994;150,8099976;145,5;148,0700073;1698200;148,0700073
150;152,9400024;147;151,6100006;1392500;151,6100006
149,9900055;150,6000061;144,3999939;149,2400055;2384100;149,2400055
148,4700012;154,7400055;146,9450073;153,6799927;1915500;153,6799927
153,2599945;156,2700043;152,9499969;156,0399933;1724700;156,0399933
156;157,4600067;152,602005;153,5599976;2065600;153,5599976
152,6000061;153,6799927;144,6199951;150,1100006;2617900;150,1100006
150,3099976;155,5;149,5;152,3800049;1909700;152,3800049
151,6300049;152,8699951;147,9499969;148,8999939;2297900;148,8999939
149,6100006;150,1649933;144,6900024;145,3399963;2622300;145,3399963
143,1399994;143,8600006;131,7599945;135,9100037;5060300;135,9100037
134,4900055;139,3899994;127,6900024;127,9700012;3763800;127,9700012
127,4300003;140,75;126,0599976;137,2799988;7194700;137,2799988
136,5700073;138,8699951;130;132,2700043;3173200;132,2700043
129,9700012;133,5700073;121,4899979;133,4499969;6007900;133,4499969
133,5599976;144,9499969;132,2489929;143,6399994;5756600;143,6399994
148,3399963;152,4949951;140,5599976;140,6600037;4768300;140,6600037
139,6799927;140,9299927;131,5599976;131,7799988;3702700;131,7799988
130,8699951;134,5399933;127,8300018;131,5299988;4208100;131,5299988
129,8500061;131,1100006;125,0500031;128,5800018;5135100;128,5800018
128,3999939;133,0200043;125,5999985;131,7599945;4208800;131,7599945
134,125;136,8500061;126,3799973;126,7799988;2898100;126,7799988
126,0299988;126,4100037;116,25;116,9499969;5115800;116,9499969
112,0400009;119,0500031;106,2799988;117,3499985;5587300;117,3499985
113;114,4000015;106,2699966;109,3899994;4877900;109,3899994
